,id,name,mpn,url_1,price_1,old_price_1,currency_1,info,cpu_type_1,cpu_implementation_1,cpu_number_of_cores_1,display_size__inch_1,memory_ram__gb_1,storage_type_1,storage_capacity__gb_1,design_color_name_1,general_year_1,url_2,url_3,url_4,price_2,old_price_2,currency_2,price_3,old_price_3,currency_3,price_4,old_price_4,currency_4,url_5,url_6,url_7,price_5,old_price_5,currency_5,price_6,old_price_6,currency_6,url_8,url_9,url_10,url_11,price_7,old_price_7,currency_7,price_8,old_price_8,currency_8,price_9,old_price_9,currency_9,url_12,price_10,old_price_10,currency_10
0,2881,Msi Katana GF76 11UC-655NL,9S7-17L212-655,https://www.bol.com/be/nl/p/msi-katana-gf76-11uc-655nl-gaming-laptop-17-3-inch/9300000075189520/,1271,999,EUR,Intel Core i7 - i7-11800H - 8 cores - 17.3 inch - 16GB - 512GB SSD - Black - 9S7-17L212-655,Intel Core i7,i7-11800H,8,17.3,16,SSD,512,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6204,Apple Macbook Pro,MKGR3LL/A,https://www.bestbuy.com/site/macbook-pro-14-laptop-apple-m1-pro-chip-16gb-memory-512gb-ssd-latest-model-silver/6450856.p?skuId=6450856,1599,,USD,2021 - Apple M1 Pro - Apple M1 Pro - 8 cores - 14.2 inch - 16GB - 512GB SSD - Silver - MKGR3LL/A,Apple M1 Pro,Apple M1 Pro,8,14.2,16,SSD,512,Silver,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6268,Medion Akoya E15413,30034235,https://azerty.nl/product/e15413-i5-512f8-qwerty/5089957,792.95,758.74,EUR,Intel® Core™ i5 - i5-1235U - 10 cores - 15.6 inch - 8GB - 512GB SSD - Metallic - 30034235,Intel® Core™ i5,i5-1235U,10,15.6,8,SSD,512,Metallic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6205,Microsoft Surface Book 3,SMN-00001,https://www.bestbuy.com/site/microsoft-surface-book-3-15-touch-screen-pixelsense-2-in-1-laptop-intel-core-i7-32gb-memory-512gb-ssd-platinum/6408385.p?skuId=6408385,2519.99,,USD,2020 - Intel 10th Generation Core i7 - 1065G7 - 4 cores - 15 inch - 32GB - 512GB SSD - Platinum - SMN-00001,Intel 10th Generation Core i7,1065G7,4,15,32,SSD,512,Platinum,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,692,Asus Rog Zephyrus G14 GA402RJ-L8018W 6900HS,90NR09T4-M00430,https://www.bol.com/be/nl/p/asus-rog-zephyrus-g14-ga402rj-l8018w-6900hs-notebook-35-6-cm-wqxga-amd-ryzen-9-16-gb-ddr5-sdram-1000-gb-ssd-amd-radeon-rx-6700s-wi-fi-6e-windows-11-home-zwart-grijs/9300000071777997/,2114,,EUR,AMD Ryzen™ 9 - 6900HS - 8 cores - 14 inch - 16GB - 1000GB SSD - Eclipse Gray AniMe Matrix version - 90NR09T4-M00430,AMD Ryzen™ 9,6900HS,8,14,16,SSD,1000,Eclipse Gray AniMe Matrix version,,https://azerty.nl/product/qwerty-ga402rj-gray-14i-r9-8gb-2-1tb-ssd-win11-qwerty/4786637,https://devices-api-prd.s3.eu-west-3.amazonaws.com/78ba0115cc021fa931fcb9f59f4b6484.jpg,https://devices-api-prd.s3.eu-west-3.amazonaws.com/e30e91d1527ad040fb1ec5cc8cb923ac.jpg,2083.82,2311.44,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,693,Msi Creator Z16P B12UGST-019BE i9-12900H,CREATOR Z16P B12UGST-019BE,https://www.bol.com/be/nl/p/msi-creator-z16p-b12ugst-019be-i9-12900h-notebook-40-6-cm-touchscreen-quad-hd-intel-core-i9-32-gb-ddr5-sdram-2000-gb-ssd-nvidia-geforce-rtx-3070-ti-wi-fi-6e-windows-11-pro-grijs/9300000075519279/,3549,3662.71,EUR,Intel Core i9 - i9-12900H - 14 cores - 16 inch - 32GB - 2000GB SSD - Gray - CREATOR Z16P B12UGST-019BE,Intel Core i9,i9-12900H,14,16,32,SSD,2000,Gray,,https://devices-api-prd.s3.eu-west-3.amazonaws.com/a1d6d396f117d5e094c9ac9bd2a80551.jpg,https://devices-api-prd.s3.eu-west-3.amazonaws.com/7b8559b78116e59c4e2c3fe9c23df954.jpg,https://devices-api-prd.s3.eu-west-3.amazonaws.com/6586cf731353083a8fef215b91b3d4db.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4165,Msi PULSE GL66 12UEK,GL6612UEK021NL,https://azerty.nl/product/msi-pulse-gl66-12uek-021nl-laptop/4680704,1699,1699.01,EUR,"Intel® Core™ i7 - i7-12700H - 14 cores - 15.6 inch - 16GB - 1000GB SSD - Gray, Titanium - GL6612UEK021NL",Intel® Core™ i7,i7-12700H,14,15.6,16,SSD,1000,"Gray, Titanium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,830,Lenovo Legion 7,82N600MWMB,https://www.bol.com/be/nl/p/lenovo-legion-7-notebook-wqxga-amd-ryzen9-32gb-ddr4-2000gb-ssd-nvidia-geforce-rtx-3080-wi-fi-6-windows-11-home-grijs/9300000048072324/,2999,2980.6,EUR,AMD Ryzen 9 - 5900HX - 8 cores - 16 inch - 32GB - 2000GB SSD - Gray - 82N600MWMB,AMD Ryzen 9,5900HX,8,16,32,SSD,2000,Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6841,Lenovo V15,82KD002RIX,https://www.bol.com/be/nl/p/lenovo-v15-laptop-15-6-amd-ryzen-5-5500u-8gb-ram-256gb-ssd-w11-pro-82kd002rix/9300000139535853/,519,535,EUR,AMD Ryzen 5 - 5500U - 6 cores - 15.6 inch - 8GB - 256GB - 256GB SSD - Black - 82KD002RIX,AMD Ryzen 5,5500U,6,15.6,8,SSD,256,Black,,https://www.bol.com/be/nl/p/lenovo-v15-gen-2-82kd002rix-15-6-full-hd-amd-ryzen-5-5500u-8-gb-256-gb-ssd-windows-11-pro/9300000096065624/,https://www.bol.com/be/nl/p/lenovo-budget-gaming-laptop-15-6-amd-ryzen-5-5500u-8gb-ram-256gb-ssd-w11-pro-82kd002rix/9300000139550191/,https://www.bol.com/be/nl/p/lenovo-ryzen-5-budget-gaming-laptop-15-6-5500u-6-core-2-1-4ghz-8gb-ram-256gb-ssd-w11-pro-82kd002rix/9300000139550191/,519.99,514.79,EUR,545,569,EUR,545,,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2175,Microsoft Surface 4 4680U,7IQ-00032,https://www.bol.com/be/nl/p/microsoft-surface-laptop-4-4680u-notebook-34-3-cm-touchscreen-amd-ryzen-5-16-gb-lpddr4x-sdram-256-gb-ssd-wi-fi-6-windows-10-pro-zwart/9300000055447011/,1264,,EUR,AMD Ryzen™ 5 - 4680U - 4 cores - 13.5 inch - 16GB - 256GB SSD - Matte Black - 7IQ-00032,AMD Ryzen™ 5,4680U,4,13.5,16,SSD,256,Matte Black,,https://azerty.nl/product/microsoft-surface-laptop-4-amd-ryzen-5-4680u-2-2-ghz/4637896,,,1572.4,1269.9,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
